VMA;lat;lon
110;50.64014;2.9372
130;50.85025;1.72379
70;50.7029;1.62584
70;48.339;7.5412
90;45.777;4.9715
130;46.734;4.8358
130;46.73369;4.83553
110;48.903;2.0053
110;48.778;2.2135
80;48.506;1.8357
110;48.798458;1.772916
90;43.999;1.3646
130;48.142;4.6167
110;43.656;4.6519
90;43.404368;5.341811
110;45.268816;3.202271
130;45.175;3.1705
130;45.372;1.5736
130;45.5273;2.339
110;47.50655;6.83185
110;47.50626;6.83206
90;48.18;1.3748
110;48.751;1.4536
80;48.454;1.4482
110;46.605;1.5017
130;47.116024;0.597417
110;47.415;0.7295
90;47.165972;-1.522873
130;47.767595;1.568362
130;44.266;0.2796
130;48.73475;-1.29568
90;48.277;5.1119
130;48.783;0.318
70;48.589;7.7303
90;45.585311;5.907693
90;45.56795;5.94276
110;46.075;5.9057
80;49.99;3.0073
80;49.658;2.7086
80;49.951;1.942
110;50.121;1.7958
80;49.957;2.8766
90;45.849;1.2761
130;48.16363;5.70697
90;48.609;2.3333
90;48.609;2.3332
110;49.035;2.4873
110;49.060959;2.3584
90;47.165;-1.5225
90;47.253115;-1.477797
110;45.6177;0.10097
110;45.670924;0.138358
110;46.21595;1.722814
110;46.192479;1.953377
110;46.761;-1.4307
130;50.523;3.0409
110;43.732699;7.295554
110;43.797;7.4834
80;47.283681;2.190504
130;44.744;-0.7043
130;44.593;-0.843
130;44.97754;-0.43216
130;49.223067;2.642181
110;49.087861;2.732704
110;45.824527;4.918214
90;45.731;4.9788
80;45.8919;4.37018
70;46.191;-0.0572
110;48.625;2.3604
70;47.633;6.1594
90;47.251324;-1.476574
110;45.031;-0.4199
110;48.647;4.8641
110;49.364247;3.344924
;49.364062;3.345087
80;49.72738;4.42786
110;49.753;5.0284
110;46.199;-1.0354
90;46.126;-1.106
110;45.3;-0.2388
110;49.431253;2.810755
90;49.249271;2.481997
110;48.146;7.3689
70;46.894;4.8527
90;43.909;1.7595
90;43.916;2.2793
70;43.621584;2.308637
110;42.739;2.8873
130;46.824;0.5191
130;43.62914;3.69391
110;48.14634;7.36874
90;50.583;3.0907
90;50.589;3.0965
110;48.867421;6.093431
110;48.921;6.1098
90;48.536733;2.209299
110;48.70354;5.42523
70;48.693;5.3376
90;44.783;-0.6321
90;47.363;0.7134
90;47.396;0.707
90;48.485;3.4819
90;48.496;4.1362
80;44.39;2.695
90;45.989;0.2005
90;48.517;-2.745
90;48.51;-2.7402
70;47.934365;1.930398
110;50.36674;2.31171
70;45.765;4.9072
70;45.76502;4.90727
110;48.341;6.3143
90;48.1735;3.3715
90;48.022;3.3137
90;48.74226;0.96123
90;43.59225;1.39882
90;43.782;-0.0235
70;47.796;1.0742
90;49.556;-1.564
110;48.691677;-1.360691
110;50.604;2.9455
110;45.557299;5.718262
90;45.571925;5.936528
90;48.62935;2.35531
130;43.711;-1.2282
130;44.139732;-0.973174
130;44.40999;-0.81927
110;48.95139;2.450885
130;43.943;-1.083
130;43.389;3.4582
130;43.475;3.6513
130;49.541;2.7273
130;49.541;2.7273
110;48.967674;2.510128
110;46.197412;1.782916
90;49.4168;1.04682
90;43.608;1.4101
90;45.695;4.8309
90;45.671884;4.772833
90;45.195;6.6222
110;49.47274;1.02779
90;46.46028;0.26737
90;45.971;2.1899
80;43.663;0.6237
130;45.17387;5.38752
110;43.13936;0.31168
90;43.6067;1.31945
110;46.148908;6.150307
90;43.97436;4.86708
130;43.1907;3.06719
130;43.191861;2.415144
130;43.192543;2.3697
90;43.6353;1.42083
90;51.01468;2.38797
90;50.997972;2.287027
80;49.36362;3.48006
90;49.42835;1.05613
130;49.78055;1.7445
130;49.7861;1.4865
110;49.01541;2.1454
110;49.05951;2.28241
90;43.59088;1.399
90;43.710541;7.201861
90;43.64658;1.46013
90;45.910064;-0.965179
110;47.0883;4.7556
110;48.59375;-1.41286
90;50.44641;2.83944
90;43.58519;1.49663
90;50.68421;3.13346
90;47.3168;5.07991
130;49.091;5.2326
130;47.645962;5.180054
130;48.9207;-1.08303
90;50.4347;2.8484
130;47.302985;4.50281
130;47.302835;4.503231
110;48.66478;-1.3671
110;48.596172;-1.407477
80;48.425255;-0.299788
110;50.424217;3.01685
110;49.45061;-1.34994
110;47.038913;3.13987
110;45.5784;5.82376
110;45.854706;3.115442
110;46.285;2.40286
110;43.59722;4.76084
110;48.507389;1.463278
90;48.56126;-1.92671
110;47.29333;-1.74453
110;50.29578;3.85408
90;48.76852;2.61274
110;49.052043;6.169857
110;42.80218;3.030407
110;48.700083;6.971603
110;48.043;-1.94317
110;49.08636;1.1882
130;49.57449;2.2023
110;48.0532;-1.91588
110;43.547154;6.79229
110;42.76709;2.89969
110;47.67987;-1.46141
130;45.49753;3.2555
90;43.50612;5.50822
110;42.5381;3.0272
130;47.73548;5.19463
130;45.49594;6.0632
110;49.3546;1.0827
110;49.07116;2.245657
130;48.192497;0.830108
130;43.460183;6.710958
130;48.16998;4.325
110;48.15867;6.48605
130;47.075636;2.274846
110;48.730205;3.906032
130;46.35551;2.80366
110;45.73042;-0.62311
130;47.74799;1.53901
110;47.89004;1.85813
110;47.054358;-0.920699
110;48.66979;5.91715
110;48.57917;2.63788
130;49.984758;1.683684
110;47.60119;6.85632
90;48.7037;2.44358
130;48.26519;1.85257
130;47.1883;2.16616
130;46.466869;4.880695
110;44.70121;3.28069
110;50.4485;2.58465
110;49.263593;-0.380193
130;44.057823;0.872815
110;45.11091;3.13624
110;48.78852;1.626852
110;45.1108;3.13646
110;47.968851;-3.987875
110;48.452766;-4.377201
110;50.38616;1.87375
130;50.86398;1.7402
110;44.35525;1.46052
130;47.100058;-1.472823
110;43.507483;4.860097
110;50.319937;3.60362
110;45.8752;3.64095
